UnixTime,Row,Segment,Timestamp,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight
1676721768,9133,BlankScreen1,32:48.1,818,503,783,466,-1,-1,76077.537,655.0598145,656.6480103,0.586602151,0.56137526,0.451841325,0.560875952,0,0
1676721768,9134,BlankScreen1,32:48.1,807,481,786,473,3.149688721,3.369598389,76085.771,655.1309204,656.703064,0.586570799,0.561386168,0.451791704,0.56089288,0,0
1676721768,9135,BlankScreen1,32:48.1,796,487,791,474,-1,-1,76094.096,655.1547241,656.6675415,0.586471558,0.561421394,0.451698631,0.560863853,0,0
1676721768,9136,BlankScreen1,32:48.1,801,491,787,462,-1,-1,76102.422,655.2727051,656.6984253,0.586542845,0.561338067,0.451768011,0.560891688,0,0
1676721768,9137,BlankScreen1,32:48.1,803,493,787,462,3.143127441,3.37461853,76110.761,655.4314575,656.7218628,0.586472154,0.561401308,0.451706201,0.560891151,0,0
1676721768,9138,BlankScreen1,32:48.1,805,495,800,481,-1,-1,76119.09,655.5288696,656.6546631,0.586381972,0.561364293,0.451640785,0.560896993,0,0
1676721768,9139,BlankScreen1,32:48.1,802,493,792,488,-1,-1,76127.542,655.697998,656.6526489,0.586470664,0.561345637,0.451702535,0.560923994,0,0
1676721768,9140,BlankScreen1,32:48.1,823,506,805,483,3.14151001,3.344650269,76135.828,655.8740845,656.640686,0.586252928,0.561360478,0.451499641,0.560952365,0,0
1676721768,9141,BlankScreen1,32:48.1,865,505,834,473,-1,-1,76144.107,655.9376221,656.5407104,0.585955322,0.561372399,0.451252848,0.560924828,0,0
1676721768,9142,BlankScreen1,32:48.1,903,508,879,479,-1,-1,76152.463,656.0310669,656.5079956,0.585948229,0.561354041,0.451268733,0.560950398,0,0
1676721768,9143,BlankScreen1,32:48.2,924,495,902,481,3.144317627,3.357299805,76160.858,656.130249,656.4761353,0.585869431,0.561344862,0.451144695,0.560928762,0,0
1676721768,9144,BlankScreen1,32:48.2,921,456,901,481,-1,-1,76169.111,656.1106567,656.3591309,0.585778356,0.561361611,0.451094419,0.560955644,0,0
1676721768,9145,BlankScreen1,32:48.2,920,469,906,481,-1,-1,76177.452,656.1290894,656.3178101,0.585906148,0.561389327,0.451189339,0.560947061,0,0
1676721768,9146,BlankScreen1,32:48.2,919,490,911,487,3.245391846,3.371002197,76185.797,656.1227417,656.2807617,0.585822225,0.561353445,0.451104581,0.560921609,0,0
1676721768,9147,BlankScreen1,32:48.2,929,499,910,481,-1,-1,76194.083,655.9906616,656.1633301,0.585749686,0.561356962,0.451006293,0.560905695,0,0
1676721768,9148,BlankScreen1,32:48.2,932,485,914,483,-1,-1,76202.421,655.8800659,656.1245117,0.585831404,0.561348081,0.451096117,0.560909271,0,0
1676721768,9149,BlankScreen1,32:48.2,939,491,909,476,3.184616089,3.417373657,76210.754,655.7533569,656.0664063,0.585793734,0.561323643,0.451032907,0.56091845,0,0
1676721768,9150,BlankScreen1,32:48.2,933,487,914,483,-1,-1,76219.088,655.5221558,655.8775024,0.585721135,0.5613271,0.450969994,0.560876846,0,0
1676721768,9151,BlankScreen1,32:48.2,925,485,913,476,-1,-1,76227.478,655.3481445,655.7314453,0.585804045,0.56131202,0.451061308,0.560914278,0,0
1676721768,9152,BlankScreen1,32:48.2,922,477,917,464,3.139358521,3.369674683,76235.821,655.223877,655.5802612,0.585777283,0.561280429,0.450995147,0.560902774,0,0
1676721768,9153,BlankScreen1,32:48.2,925,479,915,466,-1,-1,76245.781,655.048645,655.3239136,0.585705459,0.561318219,0.450954795,0.560895145,0,0
1676721768,9154,BlankScreen1,32:48.2,917,468,912,471,-1,-1,76252.838,654.9754028,655.15979,0.585779727,0.561298549,0.451039612,0.560928762,0,0
1676721768,9155,BlankScreen1,32:48.3,935,486,908,486,3.248458862,3.389541626,76260.809,654.9689331,655.0205078,0.585744739,0.561299264,0.4509826,0.560912251,0,0
1676721768,9156,BlankScreen1,32:48.3,930,483,901,475,-1,-1,76269.251,654.9147339,654.8095703,0.585684538,0.561338127,0.450948626,0.560928941,0,0
1676721768,9157,BlankScreen1,32:48.3,930,488,901,475,-1,-1,76277.54,654.9562988,654.6908569,0.585745931,0.561311841,0.451034993,0.560936451,0,0
1676721768,9158,BlankScreen1,32:48.3,922,485,906,480,3.170608521,3.385299683,76285.802,655.0512695,654.5915527,0.585721314,0.561368942,0.450997263,0.560992718,0,0
1676721768,9159,BlankScreen1,32:48.3,919,487,888,488,-1,-1,76294.089,655.0930176,654.4336548,0.585760176,0.561318576,0.45112583,0.560974598,0,0
1676721768,9160,BlankScreen1,32:48.3,856,505,845,483,-1,-1,76302.609,655.217041,654.3860474,0.586054444,0.561407685,0.451406658,0.561008871,0,0
1676721768,9161,BlankScreen1,32:48.3,799,507,799,485,3.138870239,3.401580811,76310.859,655.3939819,654.4046631,0.586058319,0.561372876,0.451514065,0.560991406,0,0
1676721768,9162,BlankScreen1,32:48.3,779,510,778,489,-1,-1,76319.169,655.4963989,654.3634033,0.586007118,0.561353743,0.45142597,0.56099987,0,0
1676721768,9163,BlankScreen1,32:48.3,776,489,781,498,-1,-1,76327.44,655.6521606,654.4108276,0.586091757,0.561333776,0.451458871,0.561012685,0,0
1676721768,9164,BlankScreen1,32:48.3,792,501,779,498,3.21383667,3.409896851,76336.129,655.8214111,654.4934082,0.586034596,0.561395288,0.451440781,0.561015368,0,0
1676721768,9165,BlankScreen1,32:48.3,775,491,774,492,-1,-1,76344.323,655.8895264,654.4891357,0.585941434,0.56136632,0.451405615,0.560940146,0,0
1676721768,9166,BlankScreen1,32:48.3,785,490,771,492,-1,-1,76352.742,656,654.5524292,0.586039424,0.561343849,0.451434433,0.561010957,0,0
1676721768,9167,BlankScreen1,32:48.4,778,471,773,493,3.130172729,3.416503906,76360.93,656.1228638,654.62323,0.58599788,0.561393559,0.451409549,0.561020434,0,0
1676721768,9168,BlankScreen1,32:48.4,790,478,769,485,-1,-1,76369.155,656.1121216,654.6074829,0.585878551,0.561376154,0.451357365,0.561002433,0,0
1676721768,9169,BlankScreen1,32:48.4,788,472,765,486,-1,-1,76377.594,656.1088867,654.7319946,0.585974514,0.561356723,0.451396167,0.561007857,0,0
1676721768,9170,BlankScreen1,32:48.4,778,490,766,483,3.168823242,3.396438599,76385.789,656.0953369,654.9141235,0.585956573,0.561388552,0.451339513,0.561010301,0,0
